"filename", "language", "C", "Makefile", "C++", "JSON", "Assembly", "Markdown", "YAML", "Shell Script", "pip requirements", "Python", "Log", "comment", "blank", "total"
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\blackman_harris\float\dsps_wind_blackman_harris_f32.c", "C", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 34
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\blackman_harris\include\dsps_wind_blackman_harris.h", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5, 38
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\blackman_nuttall\float\dsps_wind_blackman_nuttall_f32.c", "C", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 34
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\blackman_nuttall\include\dsps_wind_blackman_nuttall.h", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5, 38
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\flat_top\float\dsps_wind_flat_top_f32.c", "C", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 36
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\flat_top\include\dsps_wind_flat_top.h", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5, 38
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\hann\float\dsps_wind_hann_f32.c", "C", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 26
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\hann\include\dsps_wind_hann.h", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5, 38
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\include\dsps_wind.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 26
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\modules\windows\nuttall\float\dsps_wind_nuttall_f32.c", "C", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 34
